表格(Table),欄位(Column),型別(Type),鍵(Key),允許值/枚舉(Allowed Values),在地化說明(台灣語境與例子)
PROPERTY_MANAGEMENT_BOARD,title,string,,,看板主題；例：大樓垃圾分類公告
REVIEW,booking_id,int,FK,,對應訂單（可用於防刷評）
REVIEW,comment,string,,,文字評論；可審核敏感字
REVIEW,created_at,datetime,,,建立時間
REVIEW,host_id,int,FK,,房東 ID（USER.user_id）
REVIEW,rating,int,,,評分 1–5；建議加總分與子面向（整潔、交通）
REVIEW,review_id,int,PK,,評論 ID
REVIEW,reviewer_id,int,FK,,評論者（USER.user_id；可能是旅客或房東）
REVIEW,room_id,int,FK,,被評論房源 ID
ROOM_LIST,address_id,int,FK,,地址 ID（對應 ADDRESS.address_id）
ROOM_LIST,created_at,datetime,,,建立時間
ROOM_LIST,description,string,,,房源描述；可含設備、附近生活機能
ROOM_LIST,host_id,int,FK,,房東使用者 ID（對應 USER.user_id 且 role=host）
ROOM_LIST,max_guests,int,,,最多入住人數；例：4
ROOM_LIST,price_per_night,decimal,,,每晚價格（新台幣）；例：1280.00
ROOM_LIST,room_id,int,PK,,房源 ID
ROOM_LIST,status,string,,pending|approved|rejected|active|inactive,審核/上架狀態：審核中/通過/退件/上架/下架
ROOM_LIST,title,string,,,房源名稱；例：捷運站 3 分鐘溫馨套房
ROOM_LIST,updated_at,datetime,,,更新時間
ROOM_PHOTO,photo_id,int,PK,,房源照片 ID
ROOM_PHOTO,photo_url,string,,,圖片網址（可存雲端位址）
ROOM_PHOTO,room_id,int,FK,,房源 ID（對應 ROOM_LIST.room_id）
ROOM_PHOTO,sort_order,int,,,排序；數字越小越前面
SUBSCRIBE,host_id,int,FK,,訂閱者（USER.user_id 且 role=host）
SUBSCRIBE,sub_host_id,int,PK,,房東訂閱紀錄 ID
SUBSCRIBE,sub_id,int,FK,,對應方案（SUBSCRIBE_PLAN.sub_id）
SUBSCRIBE_PLAN,features,string,,,功能列表；例：加速審核、優先曝光
SUBSCRIBE_PLAN,plan_name,string,,,方案名稱；例：房東 Pro 月費方案
SUBSCRIBE_PLAN,price_monthly,decimal,,,月費（TWD）；例：499.00
SUBSCRIBE_PLAN,sub_id,int,PK,,訂閱方案 ID
USER,auto_subscribe,bool,,true|false,是否預設自動訂閱房東方案（符合你們訂閱制的需求）
USER,created_at,datetime,,,建立時間（台灣時區建議存 UTC+8 或統一 UTC）
USER,email,string,,,電子郵件；例：ming@example.com
USER,name,string,,,使用者姓名；例：王小明
USER,password_hash,string,,,雜湊後密碼，禁止明碼存放
USER,phone,string,,,手機號碼；例：09xx-xxx-xxx
USER,point,int,,,點數；行銷或客服補償用
USER,role,string,,guest|host|admin,角色：旅客/房東/管理員
USER,updated_at,datetime,,,更新時間
USER,user_id,int,PK,,系統流水號
